"Stock #","Vehicle Year","Vehicle Make","Vehicle Model","Vehicle VIN","Mileage","Cylinders","Vehicle Color","Vehicle Color 2","Retail Price","Market Value","Drive Train","Body Type","Engine","Transmission","Purchase Date","Vehicle Set to Upload","Added Costs","Sales/Internet Comments","Vehicle Type","Fuel Type","Wholesale Price","Days On Lot","Total Cost","Year","Make","Model","VIN","Mileage","Color","Color2","Retail Price","Body Type","Style","Weight","Condition","Transmission","Engine","Fuel Type","Cylinder","Features","Video URL"
"4337","2010","CHEVROLET","EQUINOX","2CNFLEEW4A6206485",307342,4,"GRAY","GRAY",1750,0,"AWD",4DR,2.4L,A,10/01/25,Y,35,"Virtual Test Drive URL (The Nitty Gritty): https://youtu.be/LqPC7-I8bcg?si=gXPxyhRrIYhYoF6rJust the Basics:*Tires about 25% to 30% *Vehicle drives very well (despite wheel bearing noise). *Brakes in good condition. Suspension seems tight. *Appears to have been maintained which is worth its weight in gold*Cracked windshield (not in driver's view)*Check engine light, tire pressure light, AWD light (likely due to a wheel bearing)","SUV","Gasoline","0","105","760","10","CHEVROLET","EQUINOX","2CNFLEEW4A6206485","307342","GRAY","GRAY","1750","4DR","LT","0","","A","2.4L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; All Wheel ABS","https://youtu.be/LqPC7-I8bcg?si=8ZhGg_secwaAv4vJ",
"4339","1994","CADILLAC","SEVILLE","1G6KY5294RU843489",129467,8,"GREEN","TAN",1100,0,"FWD",4DR,4.6L,A,10/08/25,Y,35,"Video Test Drive (The Nitty Gritty): https://youtu.be/u7LgzbUijWI Just the Basics: *Great acceleration! Drives, smooth. Brakes feel very good! *Tires are about 55% all the way around *Per AC, in 2001, odometer may not be accurate (according to auction) *Cosmetic flaws *Heat/AC? I don't know how to make it work #millenialproblems *Not the prettiest, but it seems to get the job done*We just replaced the coolant temp sensor (which is way down in the bottom of the motor)","Sedan","Gasoline","0","98","600","94","CADILLAC","SEVILLE","1G6KY5294RU843489","129467","GREEN","TAN","1100","4DR","STS","0","","A","4.6L","G","8","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM Cassette; AM/FM CD; Pass Key Security; Dual Front Air Bag; Active Belts; All Wheel ABS","https://youtu.be/u7LgzbUijWI",
"4341","2002","CHEVROLET","SUBURBAN","1GNFK16Z32J205848",229066,8,"TAN","",999,2961,"4WD",4DR,5.3L,A,10/08/25,Y,46.25,"Description coming soon. Watch video for more info...","SUV","Gasoline","0","98","721.25","02","CHEVROLET","SUBURBAN","1GNFK16Z32J205848","229066","TAN","","999","4DR","1500","0","","A","5.3L","G","8","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD; Daytime Running Lights; Dual Air Bags Front and Sides; Active Belts; All Wheel ABS","https://youtu.be/p49SH88ej9s?si=LIuJjxVI_K8III2q",
"4347","2007","FORD","F150","1FTRX14W37KB64185",187577,8,"BLACK","GRAY",1800,0,"4WD",4DR,4.6L,A,10/23/25,Y,60,"Virtual Test Drive URL (The Nitty Gritty): https://youtu.be/6B7RzV6WY0I?si=v6b4qcuVgV2KASQNJust the Basics:*Tires about 35%*Truck, runs, drives and shifts well! *Heat and AC both work. 4x4. Brakes and suspension seem solid.*Radio inop-may not be fully plugged in. It looks like someone put factory system back in to trade it, but maybe didn't care to hook it up?*Check engine light-P420 (evap code), P0193 (fuel rail pressure circuit high)*Auction said ''rusty frame''--take a look at this. Definitely will need attention although it drives straight and true-not like it looks. *Great get around truck! Will take some love, but should go for a long time after that.","Truck","Gasoline","0","83","945","07","FORD","F150","1FTRX14W37KB64185","187577","BLACK","GRAY","1800","4DR","XLT","0","","A","4.6L","G","8","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; AM/FM CD/DVD; Satellite; Immobilizer; Keyless Entry; Available; Dual Front Air Bag; Active Belts; Extended Cab; Regular Bed; All Wheel ABS; 1/2 Ton","https://youtu.be/6B7RzV6WY0I?si=WFIR3qMZsuLRBY1W",
"4348","2012","FORD","F150","1FTFW1ET9CKE21242",190887,6,"SILVER","TAN",4700,0,"4WD",4DR,3.5L,A,10/29/25,Y,35,"Virtual Test Drive URL (The Nitty Gritty): https://youtu.be/Oui-386JdSM?si=URyHdQfYSqTqgflKJust the Basics:*Tires about 50%*Pretty decent looking truck for a Ford--still has some cosmetic flaws, but overall better than most*AC, Heat, 4x4*Truck drives well and shifts through the gears like it should.  *Has good power and is smooth.*Check engine light P012 is the only one that returned after test drive so far.*The auction said a ''misfire on startup'' for cylinder 2,  an ''O2 sensor code'', ''tire vibration at highway speeds'' and ''possible cam phaser noise,'' though they didn't hear any cam noises--Take all that as you will, from driving it, didn't seem like much to me, but passing along the info. :)","Truck","Gasoline","0","77","3305","12","FORD","F150","1FTFW1ET9CKE21242","190887","SILVER","TAN","4700","4DR","SUPERCREW","0","","A","3.5L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Crew Cab; Regular Bed; All Wheel ABS; 1/2 Ton","https://youtu.be/Oui-386JdSM",
"4349","2009","PONTIAC","G6","1G2ZK57K194228248",170998,6,"WHITE","GRAY",2000,0,"FWD",4DR,3.5L,A,10/29/25,Y,60,"Virtual Test Drive URL (The Nitty Gritty): https://youtu.be/a70NPNwSuiU?si=sJKLEp8fVHwPlODUJust the Basics*Tires about 35% to 40%*Outside of rust, car looks pretty decent and sounds good with a recent oil change.*AC, Heat (speed 3 &4)*Good acceleration and driving. Brakes are good. (Small vibration feels like tires)*Check engine light (evap code), tire pressure light.*Auction said ''rusty frame''-I don't see anything concerning outside of rockers-(see video)","Sedan","Gasoline","0","77","1155","09","PONTIAC","G6","1G2ZK57K194228248","170998","WHITE","GRAY","2000","4DR","GT","0","","A","3.5L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; All Wheel ABS","https://youtu.be/a70NPNwSuiU",
"4350","2008","PONTIAC","TORRENT","2CKDL43F286034467",188534,6,"WHITE","BLACK",2000,0,"AWD",4DR,3.4L,A,10/29/25,Y,35,"Virtual Test Drive URL ( The Nitty Gritty): https://youtu.be/ENTP_qYs_AA?si=hK43QDfSWOKMfb77Just the Basics:*Tires are about 40%*Heat, AC, Heated Seats, current oil change*Pretty decent little vehicle. Drives well. Good brakes.*Cosmetically a little rough *LF window inop*Check engine light (evap code) and ABS light (probably indicates a speed sensor/wheel bearing issue)*A little bit of an antifreeze smell when heat is on....common issue on Equinox/Torrents. I am hoping to blow out cooling system when I get a chance. Check with me on status.","SUV","Gasoline","0","77","710","08","PONTIAC","TORRENT","2CKDL43F286034467","188534","WHITE","BLACK","2000","4DR","AWD","0","","A","3.4L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Airbags; Passenger Sensor; Active Belts; All Wheel ABS","https://youtu.be/ENTP_qYs_AA",
"4351","2008","MITSUBISHI","GALANT","4A3AB36F58E014953",250429,4,"GRAY","GRAY",1800,0,"FWD",4DR,2.4L,A,10/31/25,Y,35,"Virtual Test Drive URL (The Nitty Gritty): https://youtu.be/Rx6xdLwyhU8?si=trMjMaGPkvYYdjiuJust the Basics:*Tires about 50% all the way around*No check engine lights! *Current oil change.*Heat works well. *Tire pressure sensor light.*Drives very well. Smooth and straight. Good brakes. Tight suspension.*Auction said ''engine tick''-listen to video*Auction said ''frame rust''. All I see is rusty rockers and a stretched tow point-see video.*LR window inop","Sedan","Gasoline","0","75","1080","08","MITSUBISHI","GALANT","4A3AB36F58E014953","250429","GRAY","GRAY","1800","4DR","ES","0","","A","2.4L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","https://youtu.be/Rx6xdLwyhU8",
"4353","2010","FORD","EXPEDITION","1FMJK2A52AEA64187",220782,8,"BLACK","BLACK",3500,0,"4WD",4DR,5.4L,A,11/05/25,Y,175.24,"Virtual Test Drive (The Nitty Gritty): https://youtu.be/i-5WEVJfn90 Just the Basics: *This vehicle drives PHENOMENAL! I have personally driven this one around quite a bit since we got it hauling around my monsters. *Limited, EL Sunroof, DVD player, Automatic Rear Hatch/Rear Seats, 4x4, etc! *Heat, AC, Heated and Cooled Seats *Lays completely flat for storage! *Has an exhaust leak that sounds like manifold location *Has a backup camera, but doesn't show the feed (?)*We installed a couple new pulleys and a serpentine belt","SUV","Gasoline","0","70","2010.24","10","FORD","EXPEDITION","1FMJK2A52AEA64187","220782","BLACK","BLACK","3500","4DR","EL LIMITED","0","","A","5.4L","G","8","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; AM/FM CD/DVD; Satellite; Immobilizer; Keyless Entry; Alarm; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","https://youtu.be/i-5WEVJfn90",
"4354","2014","CHEVROLET","CRUZE","1G1PC5SB0E7186910",162459,4,"BLUE","",2000,0,"FWD",4DR,1.4L,A,11/19/25,Y,0,"Video Test Drive URL (The Nitty Gritty): https://youtu.be/p6nQjJNlaf8Just the Basics:*Well.....It's a 1.4 Chevy Cruze and it runs and drives*It has brand new bolts under the hood on the engine cover, so I'm assuming that someone already did the big job that these typically have and completed the timing and head gaskets. (According the computer, timing degrees are on par with specs).*Body has a few dings, but overall it's decent. *Everything inside works (buttons, heat, windows, etc)*Suspension seems good. Brakes are fine. Tires are okay. *Check engine light shows a couple exhaust codes and auction mentioned a couple others that haven't shown up. Check with me to see if any of this has materialized. Otherwise, I'm fairly impressed with it for what it is.","Sedan","Gasoline","0","56","625","14","CHEVROLET","CRUZE","1G1PC5SB0E7186910","162459","BLUE","","2000","4DR","LT","0","","A","1.4L","G","4","Long Conventional Cab","https://youtu.be/p6nQjJNlaf8",
"4355","2010","FORD","EXPEDITION","1FMJK2A51AEB07899",196025,8,"BLACK","GRAY",3800,0,"4WD",4DR,5.4L,A,11/19/25,Y,0,"Video Test Drive URL (The Nitty Gritty): https://youtu.be/YHvCFszzv1AJust the Basics*Runs and drives well. *Shifts smooth. No suspension noise. Brakes are solid. *Tires about 35%*Leather, Sunroof, Power seats/Rear Hatch, Nav, Backup Camera, 4x4*Check Engine Light P0446 Evap code*Heat works good, AC (I think) works okay*DVD player needs some tinkering, Auction said ''engine noise'', but I don't hear anything. Listen to the video","SUV","Gasoline","0","56","2760","10","FORD","EXPEDITION","1FMJK2A51AEB07899","196025","BLACK","GRAY","3800","4DR","EL LIMITED","0","","A","5.4L","G","8","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; AM/FM CD/DVD; Satellite; Immobilizer; Keyless Entry; Alarm; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","https://youtu.be/YHvCFszzv1A",
"4359","2006","HYUNDAI","SONATA","5NPEU46F36H029758",188516,6,"MAROON","TAN",2500,0,"FWD",4DR,3.3L,A,11/25/25,Y,0,"Video Test Drive URL (The Nitty Gritty): https://youtu.be/hVdMhWeTrMAJust the Basics:*Tires are all matching Cooper 45% tread*Oil change is current and not due until April '26*Runs and drives very well!*No check engine lights *Heat, Heated Seats, Sunroof, Leather*Exhaust A LITTLE bit louder, No radio, Wiper fluid doesn't spray","Sedan","Gasoline","0","50","885","06","HYUNDAI","SONATA","5NPEU46F36H029758","188516","MAROON","TAN","2500","4DR","GLS","0","","A","3.3L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD; Dual Air Bags Front and Sides; Active Belts; All Wheel ABS","https://youtu.be/hVdMhWeTrMA",
"4361","2006","FORD","F150","1FTPW14V66KC58545",166290,8,"GREEN","TAN",2000,0,"4WD",4DR,5.4L,A,12/09/25,Y,60,"If there is no description here, call/text Miriam 309-267-7200 or Matt 309-337-1049. We are likely working on getting it here as quickly as possible.","Truck","Gasoline","0","36","1275","06","FORD","F150","1FTPW14V66KC58545","166290","GREEN","TAN","2000","4DR","SUPERCREW","0","","A","5.4L","G","8","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD; AM/FM Cassette/CD; AM/FM CD/MP3; Immobilizer; Keyless Entry; Available; Dual Front Air Bag; Active Belts; Crew Cab; Regular Bed; All Wheel ABS; 1/2 Ton","https://youtu.be/iVsC5pcitB0",
"4362","2006","CHEVROLET","EQUINOX","2CNDL63FX66097571",243814,6,"BLACK","GRAY",1700,0,"FWD",4DR,3.4L,A,12/09/25,Y,60,"If there is no description here, call/text Miriam 309-267-7200 or Matt 309-337-1049. We are likely working on getting it here as quickly as possible.","SUV","Gasoline","0","36","735","06","CHEVROLET","EQUINOX","2CNDL63FX66097571","243814","BLACK","GRAY","1700","4DR","LT","0","","A","3.4L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD; AM/FM CD/MP3; Satellite; Keyless Entry; Alarm; Daytime Running Lights; Dual Front Air Bag; Active Belts; All Wheel ABS","https://youtu.be/zWiurDfBAx0",
"4363","2010","DODGE","GRAND CARAVAN","2D4RN5D1XAR191445",200631,6,"BLUE","GRAY",2200,0,"FWD",4DR,3.8L,A,12/18/25,Y,110.93,"If there is no description here, call/text Miriam 309-267-7200 or Matt 309-337-1049. We are likely working on getting it here as quickly as possible.","Van","Gasoline","0","27","895.93","10","DODGE","GRAND CARAVAN","2D4RN5D1XAR191445","200631","BLUE","GRAY","2200","4DR","SXT","0","","A","3.8L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Sentry Key; Keyless Entry; Available; Dual Frnt and Hd Ar Bgs; Passenger Snsr; Active Seatbelts; All Wheel ABS","https://youtu.be/LAohXJPly6U",
"4364","2012","CHEVROLET","EQUINOX","2GNALPEK5C1137109",109295,4,"GOLD","BLACK",3500,0,"FWD",4DR,2.4L,A,12/18/25,Y,44.97,"Video Test Drive URL: https://youtu.be/iM4yCL3Mh0EJust the Basics:*Good-looking body*109k miles*Motor sounds good and drives smooth*Suspension and brakes seem solid*Tires with 50% to 75% tread*Rusty rockers and louder exhaust*CEL (pictured)","SUV","Gasoline","0","27","1729.97","12","CHEVROLET","EQUINOX","2GNALPEK5C1137109","109295","GOLD","BLACK","3500","4DR","LT","0","","A","2.4L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Alarm; Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; All Wheel ABS","https://youtu.be/iM4yCL3Mh0E",
"4365","2013","DODGE","DART","1C3CDFBH9DD235443",145697,4,"RED","BLACK",2500,0,"FWD",4DR,1.4L,A,12/23/25,Y,10.99,"Video Test Drive URL: https://youtu.be/E5M66eec6ywJust the Basics:* It's a pretty good looking car with only a very small divot with rust on the driver's side. * Tires are 35% to 40%* 145k miles, Backup camera, 1.4L-4 cyl* Drives, accelerates, shifts, and stops well","Sedan","Gasoline","0","22","1105.99","13","DODGE","DART","1C3CDFBH9DD235443","145697","RED","BLACK","2500","4DR","SXT","0","","A","1.4L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Sentry Key; Keyless Entry; Alarm; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; All Wheel ABS","https://youtu.be/E5M66eec6yw",
"4366","2014","FORD","F150","1FTFW1ET5EKD75010",182754,6,"GREEN","TAN",4900,0,"4WD",4DR,3.5L,A,12/23/25,Y,0,"Video Test Drive URL: https://youtu.be/NGs8adaq6awJust the Basics:*3.5 EcoBoost, 4x4, Leather, Backup Cam*Motor sounds good*It drives well and shifts fine.*Suspension and brakes seem good. *It's a Midwest Ford-It's rusty*Tires don't have much life left-about 30% tread depth*CEL-P016, P0175, P0299","Truck","Gasoline","0","22","2250","14","FORD","F150","1FTFW1ET5EKD75010","182754","GREEN","TAN","4900","4DR","SUPERCREW","0","","A","3.5L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Crew Cab; Regular Bed; All Wheel ABS; 1/2 Ton","https://youtu.be/NGs8adaq6aw",
"4367","2012","FORD","F150","1FTFW1ET9CFB82266",194825,6,"GREEN","GRAY",4700,0,"4WD",4DR,3.5L,A,12/23/25,Y,0,"Video Test Drive URL: https://youtu.be/qaZExe_INtQJust the Basics:*3.5 EcoBoost, 4x4, Winch*Tires about 75% tread*Heat/AC*Runs and drives well. *Suspension/Brakes solid.*CEL? ''Key in Switch''?*Minor cosmetic imperfections-''20 ft truck''","Truck","Gasoline","0","22","2960","12","FORD","F150","1FTFW1ET9CFB82266","194825","GREEN","GRAY","4700","4DR","SUPERCREW","0","","A","3.5L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM; AM/FM CD/MP3; Satellite; Sentry Key; Keyless Entry; Alarm; Available; Dual Front Airbags; Side Airbags; Head Airbags; Rear Head Airbags; Active Seatbelts; Crew Cab; Regular Bed; All Wheel ABS; 1/2 Ton","https://youtu.be/qaZExe_INtQ",
"4368","2011","JEEP","WRANGLER","1J4BA6D18BL543992",144548,6,"BLACK","BLACK",4800,0,"4WD",2DR,3.8L,A,12/23/25,Y,0,"Video Test Drive URL: https://youtu.be/GnntIFw-FgcJust the Basics:* The body looks pretty decent with some upgraded fender flares, a deer slayer, and some spotlights.* Drives really well despite the typical Jeep ''rough ride''* 144k miles* The tires don't have much tread left on them, but the spare is in good condition.* The interior could use some cleaning and the windshield is cracked. Exhaust is a little louder. * A couple lights on the dash, Radio inop-replacement suggested :)","SUV","Gasoline","0","22","3160","11","JEEP","WRANGLER","1J4BA6D18BL543992","144548","BLACK","BLACK","4800","2DR","RUBICON","0","","A","3.8L","G","6","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Sentry Key; Keyless Entry; Alarm; Dual Front Airbags; Passenger Sensor; Active Belts; All Wheel ABS; Retractable Roof Panel","https://youtu.be/GnntIFw-Fgc",
"4369","2015","RAM","3500","3C63R3DJ7FG565042",221686,8,"YELLOW","BLACK",5500,0,"4WD",4DR,6.4L,A,12/23/25,Y,0,"Video Test Drive: https://youtu.be/in2SafVRfDoJust the Basics:*Really good body in and out*6.4 Hemi, Heated seats/steering wheel, 4x4, backup camera*Runs and drives decent*Tires about 35%-40%*221k miles*CEL-misfire*Radio/touchscreen maybe needs work. (It didn't work the first time I tried it and it has since). HVAC blower motor inop?","Truck","Gasoline","0","22","3470","15","RAM","3500","3C63R3DJ7FG565042","221686","YELLOW","BLACK","5500","4DR","SLT","0","","A","6.4L","G","8","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; AM/FM CD/DVD; Sentry Key; Keyless Entry; Available; Dual Air Bags Front and Sides; Active Belts; Crew Cab; Regular Bed; All Wheel ABS; 1 Ton","https://youtu.be/in2SafVRfDo",
"4371","2012","JEEP","PATRIOT","1C4NJPCB0CD515540",144163,4,"WHITE","BLACK",2000,0,"FWD",4DR,2.4L,C,12/10/25,Y,100,"If there is no description here, call/text Miriam 309-267-7200 or Matt 309-337-1049. We are likely working on getting it here as quickly as possible.","SUV","Gasoline","0","35","100","12","JEEP","PATRIOT","1C4NJPCB0CD515540","144163","WHITE","BLACK","2000","4DR","LIMITED","0","","C","2.4L","G","4","Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; AM/FM CD/MP3; Satellite; Immobilizer; Keyless Entry; Available; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; Dual Rear Side Airbag; All Wheel ABS","https://youtu.be/rnDSvKDwkts",
